"i_amort_60000":[(0.000000367, 0.0), (0.000000441, 0.0), (0.000000381, 0.0), (0.000000395, 0.0), (0.000000385, 0.0)],
"i_amort_70000":[(0.000000385, 0.0), (0.000000400, 0.0), (0.000000429, 0.0), (0.000000409, 0.0), (0.000000452, 0.0)],
"i_amort_80000":[(0.000000444, 0.0), (0.000000452, 0.0), (0.000000415, 0.0), (0.000000440, 0.0), (0.000000426, 0.0)],
"i_amort_90000":[(0.000000396, 0.0), (0.000000463, 0.0), (0.000000456, 0.0), (0.000000462, 0.0), (0.000000476, 0.0)],
"i_amort_100000":[(0.000000434, 0.0), (0.000000476, 0.0), (0.000000628, 0.0), (0.000000454, 0.0), (0.000000496, 0.0)],
"i_amort_110000":[(0.000000430, 0.0), (0.000000527, 0.0), (0.000000462, 0.0), (0.000000482, 0.0), (0.000000449, 0.0)],
"i_amort_120000":[(0.000000431, 0.0), (0.000000559, 0.0), (0.000000528, 0.0), (0.000000526, 0.0), (0.000000513, 0.0)],
"i_amort_130000":[(0.000000447, 0.0), (0.000000521, 0.0), (0.000000520, 0.0), (0.000000565, 0.0), (0.000000543, 0.0)],
"i_amort_140000":[(0.000000438, 0.0), (0.000000520, 0.0), (0.000000553, 0.0), (0.000000555, 0.0), (0.000000544, 0.0)],
"i_amort_150000":[(0.000000476, 0.0), (0.000000570, 0.0), (0.000000594, 0.0), (0.000000557, 0.0), (0.000000536, 0.0)],
"i_amort_160000":[(0.000000477, 0.0), (0.000000590, 0.0), (0.000000701, 0.0), (0.000000611, 0.0), (0.000000598, 0.0)],
"i_amort_170000":[(0.000000507, 0.0), (0.000000614, 0.0), (0.000000618, 0.0), (0.000000601, 0.0), (0.000000623, 0.0)],
"i_amort_180000":[(0.000000497, 0.0), (0.000000635, 0.0), (0.000000650, 0.0), (0.000000627, 0.0), (0.000000622, 0.0)],
"i_amort_190000":[(0.000000497, 0.0), (0.000000675, 0.0), (0.000000641, 0.0), (0.000000689, 0.0), (0.000000623, 0.0)],
"i_amort_200000":[(0.000000600, 0.0), (0.000000689, 0.0), (0.000000659, 0.0), (0.000000661, 0.0), (0.000000644, 0.0)],
"d_opt15":[(0.000000057, 0.0), (0.000000037, 0.0), (0.000000037, 0.0), (0.000000037, 0.0), (0.000000038, 0.0)],
"d_opt16":[(0.000000121, 0.0), (0.000000058, 0.0), (0.000000058, 0.0), (0.000000058, 0.0), (0.000000058, 0.0)],
"d_opt17":[(0.000000095, 0.0), (0.000000095, 0.0), (0.000000093, 0.0), (0.000000098, 0.0), (0.000000093, 0.0)],
"d_opt18":[(0.000000155, 0.0), (0.000000323, 0.0), (0.000000157, 0.0), (0.000000153, 0.0), (0.000000156, 0.0)],
"d_opt19":[(0.000000234, 0.0), (0.000000230, 0.0), (0.000000231, 0.0), (0.000000234, 0.0), (0.000000233, 0.0)],
"d_opt20":[(0.000000248, 0.0), (0.000000245, 0.0), (0.000000252, 0.0), (0.000000255, 0.0), (0.000000255, 0.0)],
"d_opt21":[(0.000000263, 0.0), (0.000000249, 0.0), (0.000000253, 0.0), (0.000000259, 0.0), (0.000000249, 0.0)],
"d_opt22":[(0.000000270, 0.0), (0.000000280, 0.0), (0.000000273, 0.0), (0.000000279, 0.0), (0.000000288, 0.0)],
"d_opt23":[(0.000000264, 0.0), (0.000000338, 0.0), (0.000000263, 0.0), (0.000000274, 0.0), (0.000000294, 0.0)],
"d_opt24":[(0.000000269, 0.0), (0.000000267, 0.0), (0.000000287, 0.0), (0.000000298, 0.0), (0.000000294, 0.0)],
"d_opt25":[(0.000000305, 0.0), (0.000000304, 0.0), (0.000000302, 0.0), (0.000000287, 0.0), (0.000000274, 0.0)],
"d_opt26":[(0.000000279, 0.0), (0.000000285, 0.0), (0.000000283, 0.0), (0.000000314, 0.0), (0.000000316, 0.0)],
"d_opt27":[(0.000000285, 0.0), (0.000000293, 0.0), (0.000000323, 0.0), (0.000000287, 0.0), (0.000000287, 0.0)],
"d_opt28":[(0.000000286, 0.0), (0.000000286, 0.0), (0.000000302, 0.0), (0.000000289, 0.0), (0.000000311, 0.0)],
"d_opt29":[(0.000000298, 0.0), (0.000000296, 0.0), (0.000000303, 0.0), (0.000000294, 0.0), (0.000000318, 0.0)],
"d_opt30":[(0.000000331, 0.0), (0.000000303, 0.0), (0.000000298, 0.0), (0.000000308, 0.0), (0.000000312, 0.0)],
"d_opt31":[(0.000000311, 0.0), (0.000000327, 0.0), (0.000000308, 0.0), (0.000000325, 0.0), (0.000000318, 0.0)],
"d_opt32":[(0.000000320, 0.0), (0.000000332, 0.0), (0.000000332, 0.0), (0.000000328, 0.0), (0.000000336, 0.0)],
"d_opt33":[(0.000000313, 0.0), (0.000000318, 0.0), (0.000000311, 0.0), (0.000000385, 0.0), (0.000000351, 0.0)],
"d_opt34":[(0.000000329, 0.0), (0.000000326, 0.0), (0.000000345, 0.0), (0.000000322, 0.0), (0.000000342, 0.0)],
"d_worst15":[(0.000000092, 0.0), (0.000000075, 0.0), (0.000000048, 0.0), (0.000000041, 0.0), (0.000000041, 0.0)],
"d_worst16":[(0.000000070, 0.0), (0.000000064, 0.0), (0.000000063, 0.0), (0.000000065, 0.0), (0.000000061, 0.0)],
"d_worst17":[(0.000000096, 0.0), (0.000000097, 0.0), (0.000000099, 0.0), (0.000000097, 0.0), (0.000000097, 0.0)],
